nm	n	k				
1420	1.960891	2.44E-4				
1422.5	1.960852	2.43E-4				
1425	1.960813	2.43E-4				
1427.5	1.960774	2.43E-4				
1430	1.960736	2.43E-4				
1432.5	1.960697	2.43E-4				
1435	1.960659	2.43E-4				
1437.5	1.960621	2.43E-4				
1440	1.960582	2.42E-4				
1442.5	1.960544	2.42E-4				
1445	1.960506	2.42E-4				
1447.5	1.960469	2.42E-4				
1450	1.960431	2.42E-4				
1452.5	1.960393	2.42E-4				
1455	1.960356	2.42E-4				
1457.5	1.960318	2.41E-4				
1460	1.960281	2.41E-4				
1462.5	1.960244	2.41E-4				
1465	1.960206	2.41E-4				
1467.5	1.960169	2.41E-4				
1470	1.960132	2.41E-4				
1472.5	1.960096	2.41E-4				
1475	1.960059	2.41E-4				
1477.5	1.960022	2.41E-4				
1480	1.959986	2.4E-4				
1482.5	1.959949	2.4E-4				
1485	1.959913	2.4E-4				
1487.5	1.959877	2.4E-4				
1490	1.95984	2.4E-4				
1492.5	1.959804	2.4E-4				
1495	1.959768	2.4E-4				
1497.5	1.959732	2.4E-4				
1500	1.959696	2.4E-4				
1502.5	1.959661	2.39E-4				
1505	1.959625	2.39E-4				
1507.5	1.959589	2.39E-4				
1510	1.959554	2.39E-4				
1512.5	1.959519	2.39E-4				
1515	1.959483	2.39E-4				
1517.5	1.959448	2.39E-4				
1520	1.959413	2.39E-4				
1522.5	1.959378	2.39E-4				
1525	1.959343	2.39E-4				
1527.5	1.959308	2.38E-4				
1530	1.959273	2.38E-4				
1532.5	1.959238	2.38E-4				
1535	1.959204	2.38E-4				
1537.5	1.959169	2.38E-4				
1540	1.959135	2.38E-4				
1542.5	1.9591	2.38E-4				
1545	1.959066	2.38E-4				
